network,method,variant,model_file,original_variables,original_fixed_variables,original_free_variables,retained_variables,state_dimension,fixed_variables,free_variables,retained_fraction,eliminated_fraction,free_retained_fraction,free_eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_size,original_effective_state_space_size,effective_state_space_ratio,log2_effective_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,77,30,47,0,0,0,0,0.0,1.0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,1,140737488355328,7.105427357601002e-15,-47,True,,,
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,77,30,47,30,30,30,0,0.38961038961038963,0.6103896103896104,0.0,1.0,1073741824,151115727451828646838272,7.105427357601002e-15,-47,1,140737488355328,7.105427357601002e-15,-47,True,1,6,hsa_10000;hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2064;hsa_207;hsa_208;hsa_3845;hsa_4089;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_5888;hsa_595;hsa_675;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7157;hsa_9459
prostate_cancer,original,original,results/models/prostate_cancer/original.bnet,106,41,65,106,106,41,65,1.0,0.0,1.0,0.0,81129638414606681695789005144064,81129638414606681695789005144064,1.0,0,36893488147419103232,36893488147419103232,1.0,0,False,,,
prostate_cancer,node_elimination,node_elimination,results/models/prostate_cancer/node_elimination.bnet,106,41,65,1,1,0,1,0.009433962264150943,0.9905660377358491,0.015384615384615385,0.9846153846153847,2,81129638414606681695789005144064,2.465190328815662e-32,-105,2,36893488147419103232,5.421010862427522e-20,-64,True,,,
prostate_cancer,two_step,two_step,results/models/prostate_cancer/two_step.bnet,106,41,65,2,2,0,2,0.018867924528301886,0.9811320754716981,0.03076923076923077,0.9692307692307692,4,81129638414606681695789005144064,4.930380657631324e-32,-104,4,36893488147419103232,1.0842021724855044e-19,-63,True,,,
prostate_cancer,leaf_node_removal,leaf_node_removal,results/models/prostate_cancer/leaf_node_removal.bnet,106,41,65,33,33,11,22,0.3113207547169811,0.6886792452830188,0.3384615384615385,0.6615384615384615,8589934592,81129638414606681695789005144064,1.0587911840678754e-22,-73,4194304,36893488147419103232,1.1368683772161603e-13,-43,True,,,
prostate_cancer,dominant_vertices,dv_01,results/models/prostate_cancer/dominant_vertices/dominant_vertices_01.bnet,106,41,65,42,42,41,1,0.39622641509433965,0.6037735849056604,0.015384615384615385,0.9846153846153847,4398046511104,81129638414606681695789005144064,5.421010862427522e-20,-64,2,36893488147419103232,5.421010862427522e-20,-64,True,1,8,hsa_1017;hsa_113235;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2078;hsa_2119;hsa_2346;hsa_2348;hsa_2350;hsa_2352;hsa_2911;hsa_2915;hsa_2950;hsa_3320;hsa_3326;hsa_3479;hsa_3630;hsa_367;hsa_4314;hsa_4318;hsa_4790;hsa_4824;hsa_5154;hsa_5155;hsa_5327;hsa_5328;hsa_56034;hsa_5728;hsa_5970;hsa_6573;hsa_6692;hsa_6716;hsa_6935;hsa_7039;hsa_7113;hsa_7184;hsa_7850;hsa_80310;hsa_898;hsa_9134
renal_cell_carcinoma,original,original,results/models/renal_cell_carcinoma/original.bnet,70,26,44,70,70,26,44,1.0,0.0,1.0,0.0,1180591620717411303424,1180591620717411303424,1.0,0,17592186044416,17592186044416,1.0,0,False,,,
renal_cell_carcinoma,node_elimination,node_elimination,results/models/renal_cell_carcinoma/node_elimination.bnet,70,26,44,0,0,0,0,0.0,1.0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,1,17592186044416,5.684341886080802e-14,-44,True,,,
renal_cell_carcinoma,two_step,two_step,results/models/renal_cell_carcinoma/two_step.bnet,70,26,44,0,0,0,0,0.0,1.0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,1,17592186044416,5.684341886080802e-14,-44,True,,,
