network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,initial_states_analyzed,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
pancreatic_cancer,two_step,two_step,results/models/pancreatic_cancer/two_step.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.002737824999712757,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.511999905953417e-06,,,
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.0024943849998635415,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.207999937643763e-06,,,
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,77,30,30,0.38961038961038963,0.6103896103896104,1073741824,151115727451828646838272,7.105427357601002e-15,-47,True,1,6,hsa_10000;hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2064;hsa_207;hsa_208;hsa_3845;hsa_4089;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_5888;hsa_595;hsa_675;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7157;hsa_9459,1,,theoretical_preservation,True,monte_carlo,False,10000,9.313225746154785e-06,1,1,0,1,1.0,1,0.06583916699992187,10000,5768047325328413922,
prostate_cancer,original,original,results/models/prostate_cancer/original.bnet,106,106,106,1.0,0.0,81129638414606681695789005144064,81129638414606681695789005144064,1.0,0,False,,,,2,0.02092681000021912,mpbn_exact,True,monte_carlo,False,10000,1.232595164407831e-28,1,1,0,1,8.997,9,0.38267941899994184,10000,10729559845943105712,
prostate_cancer,node_elimination,node_elimination,results/models/prostate_cancer/node_elimination.bnet,106,1,1,0.009433962264150943,0.9905660377358491,2,81129638414606681695789005144064,2.465190328815662e-32,-105,True,,,,2,0.005445617000077618,mpbn_exact,True,exact,True,2,1.0,2,2,0,1;1,0.0,0,2.504499980204855e-05,,,
prostate_cancer,two_step,two_step,results/models/prostate_cancer/two_step.bnet,106,2,2,0.018867924528301886,0.9811320754716981,4,81129638414606681695789005144064,4.930380657631324e-32,-104,True,,,,2,0.005010394000237284,mpbn_exact,True,exact,True,4,1.0,2,2,0,1;1,0.5,1,2.4561999907746213e-05,,,
prostate_cancer,leaf_node_removal,leaf_node_removal,results/models/prostate_cancer/leaf_node_removal.bnet,106,33,33,0.3113207547169811,0.6886792452830188,8589934592,81129638414606681695789005144064,1.0587911840678754e-22,-73,True,,,,2,0.009543549999762035,mpbn_exact,True,monte_carlo,False,10000,1.1641532182693481e-06,1,1,0,1,7.9967,8,0.09718188900023961,10000,877878801057015525,
prostate_cancer,dominant_vertices,dv_01,results/models/prostate_cancer/dominant_vertices/dominant_vertices_01.bnet,106,42,42,0.39622641509433965,0.6037735849056604,4398046511104,81129638414606681695789005144064,5.421010862427522e-20,-64,True,1,8,hsa_1017;hsa_113235;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2078;hsa_2119;hsa_2346;hsa_2348;hsa_2350;hsa_2352;hsa_2911;hsa_2915;hsa_2950;hsa_3320;hsa_3326;hsa_3479;hsa_3630;hsa_367;hsa_4314;hsa_4318;hsa_4790;hsa_4824;hsa_5154;hsa_5155;hsa_5327;hsa_5328;hsa_56034;hsa_5728;hsa_5970;hsa_6573;hsa_6692;hsa_6716;hsa_6935;hsa_7039;hsa_7113;hsa_7184;hsa_7850;hsa_80310;hsa_898;hsa_9134,2,,theoretical_preservation,True,monte_carlo,False,10000,2.2737367544323206e-09,2,2,0,1;1,1.0,1,0.09791413999982979,10000,11499971874740609625,
renal_cell_carcinoma,original,original,results/models/renal_cell_carcinoma/original.bnet,70,70,70,1.0,0.0,1180591620717411303424,1180591620717411303424,1.0,0,False,,,,1,0.011019610999937868,mpbn_exact,True,monte_carlo,False,10000,8.470329472543003e-18,1,1,0,1,5.2305,6,0.2347101149998707,10000,14681461830633154229,
renal_cell_carcinoma,node_elimination,node_elimination,results/models/renal_cell_carcinoma/node_elimination.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,,1,0.0031593630001225392,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.3175999811210204e-05,,,
renal_cell_carcinoma,two_step,two_step,results/models/renal_cell_carcinoma/two_step.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,,1,0.002641018999838707,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.184000191453379e-06,,,
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/renal_cell_carcinoma/leaf_node_removal.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,,1,0.0029449079997903027,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.749000128067564e-06,,,
renal_cell_carcinoma,dominant_vertices,dv_01,results/models/renal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,70,26,26,0.37142857142857144,0.6285714285714286,67108864,1180591620717411303424,5.684341886080802e-14,-44,True,1,5,hsa_1026;hsa_112398;hsa_112399;hsa_1387;hsa_201163;hsa_2033;hsa_2271;hsa_3082;hsa_3265;hsa_369;hsa_3845;hsa_405;hsa_4893;hsa_54583;hsa_5546;hsa_5879;hsa_5894;hsa_673;hsa_6921;hsa_6923;hsa_7030;hsa_7428;hsa_8453;hsa_9915;hsa_9978;hsa_998,1,,theoretical_preservation,True,monte_carlo,False,10000,0.00014901161193847656,1,1,0,1,1.0,1,0.05731063100029132,10000,13374820794945806201,
